ID,Age,Gender,Experience,Income,Family,CCAvg,Education,Mortgage,HomeOwnership,Personal Loan
45,46.0,F,20,104.0,1,5.7,b,0,Home Mortage,0
46,57.0,M,31,52.0,4,2.5,b,0,Home Mortage,0
47,39.0,O,14,43.0,3,0.7,m,153,Home Mortage,0
48,97.0,M,12,194.0,4,0.2,a,211,Rent,1
49,56.0,M,26,81.0,2,4.5,a,0,Rent,0
50,40.0,M,16,49.0,1,1.8,b,0,Rent,0
51,32.0,F,8,8.0,4,0.7,m,0,Rent,0
52,61.0,M,37,131.0,1,2.9,b,0,Rent,0
53,30.0,M,6,72.0,1,0.1,b,207,Rent,0
54,45.29521329861807,M,26,190.0,3,2.1,a,240,Rent,1
55,29.0,F,5,44.0,1,0.2,a,0,Rent,0
56,41.0,F,17,139.0,2,8.0,b,0,Rent,0
57,55.0,F,30,29.0,3,0.1,m,0,Rent,0
58,56.0,M,31,131.0,2,1.2,a,0,Rent,1
59,28.0,F,2,93.0,2,0.2,b,0,Home Mortage,0
60,31.0,O,5,188.0,2,4.5,b,455,Home Mortage,0
61,49.0,F,24,39.0,3,1.7,m,0,Home Mortage,0
62,47.0,O,21,125.0,1,5.7,b,112,Home Mortage,0
63,42.0,F,18,22.0,1,1.0,b,0,Home Mortage,0
64,42.0,F,17,32.0,4,0.0,m,0,Home Mortage,0
65,47.0,M,23,105.0,2,3.3,b,0,Home Mortage,0
66,59.0,F,35,131.0,1,3.8,b,0,Home Mortage,0
67,62.0,F,36,105.0,2,2.8,b,336,Home Mortage,0
68,53.0,F,23,45.0,4,2.0,a,132,Home Mortage,0
69,47.0,M,21,60.0,3,2.1,b,0,Home Mortage,0
70,53.0,F,29,20.0,4,0.2,b,0,Home Mortage,0
71,42.0,F,18,115.0,1,3.5,b,0,Home Mortage,0
72,53.0,F,29,69.0,4,1.0,m,0,Home Mortage,0
73,44.0,F,20,130.0,1,5.0,b,0,Home Mortage,0
74,41.0,O,16,85.0,1,4.0,a,0,Home Mortage,0
75,28.0,M,3,135.0,2,3.3,b,0,Home Mortage,0
76,31.0,M,7,135.0,4,3.8,m,0,Rent,1
77,58.0,F,32,12.0,3,0.3,a,0,Rent,0
78,46.0,F,20,29.0,3,0.5,m,0,Rent,0
79,0.0,M,30,72.74614760746148,2,2.6,a,0,Rent,1
80,50.0,M,26,19.0,2,0.4,b,118,Rent,0
81,60.0,F,36,41.0,4,1.3,b,174,Rent,0
82,47.0,M,22,40.0,3,2.7,m,0,Rent,0
83,41.0,M,16,82.0,1,4.0,a,0,Rent,0
84,33.0,M,9,50.0,1,2.4,m,0,Rent,0
85,46.0,F,22,18.0,1,0.9,a,0,Rent,0
86,27.0,M,2,109.0,4,1.8,a,0,Rent,0
87,40.0,M,16,42.0,4,2.2,m,126,Rent,0
88,48.0,M,22,78.0,3,1.1,b,0,Rent,0
89,65.0,M,41,51.0,2,1.1,b,0,Rent,0
90,25.0,M,-1,113.0,4,2.3,a,0,Rent,0
91,13.0,M,30,118.0,4,5.6,m,0,Rent,1
92,35.0,F,10,29.0,4,1.1,a,0,Rent,0
93,43.0,F,19,34.0,3,0.6,m,0,Rent,0
94,60.0,F,34,64.0,2,1.7,a,236,Rent,0
95,65.0,F,39,121.0,1,2.0,b,0,Rent,0
96,38.0,F,12,48.0,4,0.2,a,0,Rent,0
97,41.0,F,15,80.0,1,5.2,b,0,Rent,0
98,54.0,F,28,161.0,1,2.9,b,0,Rent,0
99,49.0,F,23,94.0,1,0.3,b,0,Rent,0
100,66.0,F,41,15.0,3,0.1,a,0,Rent,0
101,48.0,F,23,74.0,1,1.2,b,0,Rent,0
102,61.0,F,36,30.0,3,1.3,m,0,Rent,0
103,53.0,F,23,44.0,3,1.0,a,198,Rent,0
104,43.0,F,18,22.0,2,0.3,m,0,Home Mortage,0
105,56.0,F,32,38.0,4,1.3,b,166,Home Mortage,0
106,24.0,F,0,35.0,3,0.1,m,0,Home Mortage,0
107,43.0,F,17,69.0,4,2.9,b,0,Home Mortage,0
108,42.0,F,18,43.0,1,0.7,b,136,Home Mortage,0
109,33.0,O,7,32.0,1,0.6,a,166,Home Mortage,0
110,43.0,F,17,49.0,1,2.8,b,0,Home Mortage,0
111,41.0,O,14,9.0,3,1.0,m,0,Home Mortage,0
112,62.0,O,38,45.0,4,1.3,m,0,Home Mortage,0
113,40.0,F,15,82.0,3,1.0,b,309,Home Mortage,0
114,58.0,M,34,92.0,2,2.8,b,103,Home Mortage,0
115,39.0,F,14,39.0,3,0.5,a,0,Home Mortage,0
116,65.0,F,40,81.0,3,1.8,m,0,Home Mortage,0
117,54.0,F,29,35.0,1,1.5,m,0,Home Mortage,0
118,58.0,F,33,61.0,2,2.3,a,193,Home Mortage,0
119,41.0,F,16,73.0,3,3.0,b,0,Home Mortage,0
120,32.0,M,7,112.0,1,4.6,b,366,Home Mortage,0
121,54.0,F,29,12.0,2,0.2,a,0,Home Mortage,0
122,52.0,F,26,38.0,3,0.9,a,0,Home Mortage,0
123,58.0,F,32,73.0,2,0.7,m,0,Home Mortage,0
124,37.0,M,13,84.0,1,3.6,m,0,Home Mortage,0
125,39.0,F,15,78.0,4,2.4,b,118,Home Mortage,0
126,60.0,F,35,80.0,3,0.5,b,0,Home Mortage,0
127,31.0,M,5,115.0,2,1.3,b,101,Home Mortage,0
128,34.0,F,8,82.0,1,2.7,m,251,Home Mortage,0
129,38.0,F,14,74.0,2,0.0,b,0,Home Mortage,0
130,41.0,F,16,70.0,3,0.5,a,0,Home Mortage,0
131,28.0,F,4,81.0,3,1.5,b,276,Home Mortage,0
132,45.29521329861807,M,34,149.0,4,7.2,m,0,Rent,1
133,31.0,F,1,51.0,2,1.75,a,0,Rent,0
134,30.0,M,4,39.0,3,1.1,m,0,Rent,0
135,53.0,M,29,98.0,3,1.8,m,0,Rent,0
136,58.0,F,33,45.0,4,2.1,b,0,Rent,0
137,59.0,F,32,49.0,4,2.5,m,0,Rent,0
138,49.0,F,25,128.0,2,0.4,b,0,Rent,0
139,59.0,F,34,42.0,3,1.5,b,0,Rent,0
140,59.0,F,35,18.0,1,1.2,a,0,Rent,0
141,51.0,F,25,31.0,2,0.4,a,161,Rent,0
142,35.0,F,11,58.0,3,2.0,b,149,Rent,0
143,33.0,F,9,48.0,1,2.1,a,0,Rent,0
144,25.0,F,1,54.0,4,1.6,b,0,Rent,0
145,49.0,F,23,70.0,2,1.5,m,0,Rent,0
146,59.0,F,35,124.0,1,7.4,b,0,Rent,0
147,46.0,F,19,84.0,1,2.66666666666667,m,0,Rent,0
148,50.0,M,25,83.0,4,3.6,a,188,Rent,0
149,52.0,F,28,163.0,2,0.4,b,116,Rent,0
150,48.0,O,22,42.0,3,2.2,m,0,Rent,0
151,46.0,F,22,118.0,2,7.5,b,0,Rent,0
152,26.0,M,0,132.0,3,6.5,a,0,Rent,1
153,57.0,O,32,24.0,1,1.3,b,0,Rent,0
154,60.0,M,36,22.0,2,1.0,b,0,Rent,0
155,54.0,F,29,58.0,4,1.3,a,0,Rent,0
156,24.0,O,0,60.0,4,1.6,b,0,Rent,0
157,26.0,M,0,15.0,4,0.4,b,0,Rent,0
158,41.0,O,17,83.0,4,2.66666666666667,b,0,Rent,0
159,32.0,M,6,79.0,2,1.5,a,0,Rent,0
160,61.0,F,35,41.0,4,1.7,m,0,Rent,0
161,29.0,M,0,134.0,4,6.5,a,0,Rent,1
162,61.0,F,35,80.0,2,2.8,b,0,Rent,0
163,38.0,O,12,52.0,1,2.0,b,0,Rent,0
164,28.0,O,4,70.0,4,2.6,b,0,Rent,0
165,53.0,O,27,92.0,2,1.1,b,0,Rent,0
166,27.0,O,1,43.0,1,1.5,b,0,Rent,0
167,25.0,O,1,21.0,3,1.0,m,0,Rent,0
168,33.0,O,9,23.0,3,0.9,a,0,Rent,0
169,50.0,F,26,13.0,4,1.0,b,0,Rent,0
170,27.0,O,1,112.0,4,2.1,a,0,Rent,0
171,27.0,F,1,138.0,2,2.0,b,0,Rent,0
172,52.0,M,28,11.0,3,0.4,b,0,Rent,0
173,38.0,F,13,171.0,2,7.8,b,0,Rent,0
174,58.0,F,34,42.0,4,1.5,b,0,Rent,0
175,42.0,M,17,168.0,2,7.9,m,0,Rent,1
176,45.0,F,20,85.0,4,1.1,m,0,Rent,0
177,52.0,F,25,44.0,3,1.0,m,135,Rent,0
178,29.0,F,3,65.0,4,1.8,m,244,Rent,0
179,53.0,F,29,24.0,4,0.2,b,0,Rent,0
180,62.0,M,37,11.0,1,0.1,b,0,Rent,0
181,51.0,M,27,38.0,2,1.0,a,164,Rent,0
182,36.0,F,12,10.0,4,0.7,m,81,Rent,0
183,24.0,O,0,135.0,1,1.5,b,0,Rent,0
184,29.0,M,3,148.0,3,4.1,b,0,Rent,1
185,52.0,M,26,63.0,2,1.5,m,0,Rent,0
186,39.0,M,14,115.0,1,1.0,a,0,Rent,0
187,48.0,M,23,45.0,1,0.3,b,0,Rent,0
188,46.0,M,21,159.0,3,1.9,a,315,Home Mortage,1
189,64.0,O,40,169.0,2,2.1,b,122,Home Mortage,0
190,55.0,O,29,112.0,2,1.4,b,0,Home Mortage,0
191,60.0,F,36,93.0,1,4.3,b,0,Home Mortage,0
192,51.0,F,25,29.0,1,0.3,a,140,Home Mortage,0
193,50.0,F,23,85.0,1,2.66666666666667,m,0,Home Mortage,0
194,48.0,M,24,21.0,4,0.6,b,0,Home Mortage,0
195,53.0,F,29,144.0,2,6.8,b,0,Home Mortage,0
196,34.0,F,10,13.0,4,1.0,b,95,Home Mortage,0
197,48.0,F,24,165.0,1,5.0,b,0,Home Mortage,0
198,55.0,O,31,9.0,4,0.7,b,89,Home Mortage,0
199,27.0,O,3,59.0,4,0.0,b,90,Home Mortage,0
200,36.0,M,11,72.74614760746148,1,5.1,a,0,Home Mortage,1
201,32.0,O,6,29.0,1,1.9,a,0,Home Mortage,0
202,35.0,M,9,20.0,2,1.4,a,0,Home Mortage,0
203,30.0,M,3,68.0,4,2.0,m,0,Home Mortage,0
204,58.0,F,34,65.0,4,2.2,b,0,Home Mortage,0
205,56.0,O,31,61.0,2,1.9,m,105,Home Mortage,0
206,38.0,F,12,91.0,4,1.4,m,100,Home Mortage,0
207,49.0,F,25,31.0,1,1.0,b,0,Home Mortage,0
208,34.0,M,10,71.0,4,0.1,m,0,Home Mortage,0
209,40.0,F,16,73.0,4,2.66666666666667,b,0,Home Mortage,0
210,64.0,M,39,172.0,4,3.1,b,282,Home Mortage,1
211,51.0,F,26,20.0,2,0.0,b,0,Home Mortage,0
212,44.0,F,18,55.0,1,0.2,b,0,Home Mortage,0
213,46.0,O,22,69.0,2,1.7,b,209,Home Mortage,0
214,57.0,M,33,155.0,1,7.4,b,0,Home Mortage,0
215,54.0,M,28,94.0,1,1.9,m,0,Home Mortage,0
216,38.0,M,14,92.0,2,0.0,b,249,Home Mortage,0
217,27.0,F,3,125.0,2,0.6,b,0,Home Mortage,0
218,39.0,O,14,74.0,3,3.0,b,0,Home Mortage,0
219,44.0,M,20,72.0,3,0.3,a,0,Home Mortage,0
220,56.0,F,30,61.0,1,2.2,a,0,Home Mortage,0
221,32.0,O,6,25.0,2,0.3,b,0,Home Mortage,0
222,45.0,F,19,83.0,2,1.7,m,0,Home Mortage,0
223,26.0,F,2,104.0,3,2.5,b,0,Home Mortage,0
224,55.0,M,25,41.0,3,1.0,a,0,Home Mortage,0
225,52.0,F,27,58.0,4,1.8,a,91,Home Mortage,0
226,39.0,F,13,93.0,1,1.5,a,0,Home Mortage,0
227,24.0,O,-1,39.0,2,1.7,m,0,Home Mortage,0
228,47.0,F,23,148.0,2,7.5,b,0,Home Mortage,0
229,47.0,O,22,53.0,4,1.9,a,98,Home Mortage,0
230,48.0,M,24,71.0,2,1.7,b,145,Home Mortage,0
231,47.0,M,22,92.0,1,2.8,m,0,Home Mortage,0
232,35.0,O,10,61.0,4,2.1,a,0,Home Mortage,0
233,46.0,F,19,38.0,3,2.5,m,135,Home Mortage,0
234,62.0,O,37,58.0,4,1.7,b,0,Home Mortage,0
235,26.0,O,1,80.0,1,0.8,m,150,Home Mortage,0
236,38.0,O,8,71.0,4,1.8,a,0,Home Mortage,0
237,43.0,F,18,89.0,3,0.5,a,0,Home Mortage,0
238,62.0,F,38,83.0,1,1.8,a,0,Home Mortage,0
239,57.0,M,32,28.0,3,0.2,b,0,Home Mortage,0
240,28.0,M,3,52.0,4,1.7,m,0,Home Mortage,0
241,51.0,O,26,70.0,1,1.2,b,169,Home Mortage,0
242,48.0,M,22,71.0,1,1.4,a,0,Home Mortage,0
243,41.0,M,16,75.0,1,3.7,a,280,Home Mortage,0
244,65.0,M,39,170.0,3,7.9,a,99,Home Mortage,1
245,41.0,M,17,78.0,4,0.8,b,78,Home Mortage,0
246,35.0,M,11,25.0,2,1.0,m,0,Home Mortage,0
247,38.0,M,14,60.0,2,0.6,a,0,Home Mortage,0
248,53.0,M,29,120.0,4,2.7,m,111,Home Mortage,1
249,55.0,M,29,99.0,2,1.4,b,264,Home Mortage,0
250,26.0,M,1,55.0,3,2.6,a,113,Home Mortage,0
251,30.0,M,6,29.0,3,1.0,m,117,Home Mortage,0
252,54.0,M,28,170.0,2,6.2,m,325,Home Mortage,1
253,65.0,M,40,53.0,3,2.2,b,0,Home Mortage,0
254,47.0,M,21,138.0,1,0.0,b,0,Home Mortage,0
255,65.0,M,41,134.0,3,3.9,a,121,Home Mortage,1
256,66.0,M,40,42.0,2,0.7,a,138,Home Mortage,0
257,26.0,M,0,99.0,4,2.3,a,0,Home Mortage,0
258,66.0,M,41,18.0,3,0.5,b,0,Home Mortage,0
259,35.0,M,9,24.0,4,0.3,b,0,Home Mortage,0
260,56.0,M,30,55.0,1,1.4,b,77,Home Mortage,0
261,51.0,M,27,58.0,1,0.0,b,0,Home Mortage,0
262,42.0,M,16,111.0,2,1.2,a,251,Home Mortage,1
263,49.0,M,23,33.0,1,0.3,a,0,Home Mortage,0
264,27.0,M,1,74.0,4,1.8,m,112,Home Mortage,0
265,45.0,M,19,38.0,2,0.7,b,0,Home Mortage,0
266,49.0,M,23,23.0,4,0.6,a,98,Home Mortage,0
267,63.0,M,38,61.0,2,1.5,b,0,Home Mortage,0
268,47.0,M,22,81.0,1,2.9,b,138,Home Mortage,0
269,64.0,M,39,129.0,1,2.5,b,0,Home Mortage,0
270,43.0,M,13,33.0,1,0.75,a,0,Home Mortage,0
271,60.0,M,36,63.0,4,2.2,b,0,Home Mortage,0
272,40.0,M,14,70.0,4,1.4,m,0,Home Mortage,0
273,29.0,M,3,45.0,4,0.2,b,158,Home Mortage,0
274,41.0,M,16,65.0,3,0.5,a,0,Home Mortage,0
275,30.0,M,5,74.0,4,2.2,b,0,Home Mortage,0
276,49.0,M,24,50.0,4,1.8,a,0,Home Mortage,0
277,30.0,M,5,22.0,4,0.5,a,109,Home Mortage,0
278,29.0,M,2,30.0,4,1.0,a,0,Home Mortage,0
279,50.0,M,26,21.0,4,1.0,b,0,Home Mortage,0
280,39.0,M,14,155.0,2,3.9,b,0,Home Mortage,0
281,33.0,M,8,64.0,4,2.1,a,164,Home Mortage,0
282,57.0,M,31,65.0,4,2.6,a,0,Home Mortage,0
283,34.0,M,9,71.0,4,0.7,a,0,Home Mortage,0
284,61.0,M,36,40.0,3,0.5,m,0,Home Mortage,0
285,44.0,M,19,69.0,3,0.5,a,0,Home Mortage,0
286,40.0,M,13,69.0,3,2.33333333333333,m,0,Home Mortage,0
287,51.0,M,25,45.0,3,0.6,m,131,Home Mortage,0
288,37.0,M,12,62.0,3,0.7,m,0,Home Mortage,0
289,44.0,M,19,172.0,2,4.3,a,391,Home Mortage,1
290,42.0,M,15,24.0,3,1.0,m,0,Home Mortage,0
291,51.0,M,25,80.0,1,4.9,b,0,Home Mortage,0
292,43.0,M,16,8.0,3,0.666666666666667,m,88,Home Mortage,0
293,30.0,M,5,38.0,4,0.8,b,129,Home Mortage,0
294,45.0,M,19,93.0,4,2.6,a,0,Home Mortage,0
295,35.0,M,9,55.0,1,2.0,b,0,Home Mortage,0
296,60.0,M,34,64.0,2,1.7,a,0,Home Mortage,0
297,34.0,M,9,122.0,1,0.0,b,0,Home Mortage,0
298,55.0,M,25,70.0,3,1.4,a,0,Home Mortage,0
299,43.0,M,19,81.0,2,3.2,b,0,Home Mortage,0
300,41.0,M,15,159.0,1,5.5,a,0,Rent,1
301,34.0,M,9,70.0,4,1.3,b,0,Rent,0
302,65.0,M,39,150.0,2,6.9,b,196,Rent,0
303,45.0,M,21,152.0,2,7.5,b,0,Rent,0
304,49.0,M,25,195.0,4,3.0,b,617,Rent,1
305,48.0,M,23,22.0,1,0.1,b,0,Rent,0
306,60.0,M,35,22.0,1,1.3,b,123,Rent,0
307,55.0,M,29,79.0,3,0.8,b,0,Rent,0
308,42.0,M,18,33.0,1,1.4,a,0,Rent,0
309,32.0,M,8,128.0,2,4.33333333333333,b,0,Rent,0
310,62.0,M,38,91.0,1,3.8,b,0,Rent,0
311,57.0,M,32,39.0,4,0.9,b,0,Rent,0
312,52.0,M,26,121.0,1,7.3,b,167,Rent,0
313,36.0,M,6,21.0,1,0.666666666666667,a,0,Rent,0
314,34.0,M,9,41.0,3,2.3,b,0,Rent,0
315,63.0,M,37,45.0,2,0.7,a,0,Rent,0
316,24.0,M,-2,51.0,3,0.3,a,0,Rent,0
317,57.0,M,31,165.0,1,1.6,m,0,Rent,1
318,40.0,M,16,119.0,2,4.2,m,0,Rent,1
319,27.0,M,2,110.0,4,1.8,a,190,Rent,0
320,65.0,M,39,20.0,3,0.7,m,0,Rent,0
321,60.0,M,34,64.0,1,0.8,m,248,Rent,0
322,44.0,M,20,101.0,3,4.4,m,82,Rent,1
323,63.0,M,39,101.0,1,3.9,b,0,Rent,1
324,59.0,M,34,99.0,1,4.4,b,0,Home Owner,1
325,56.0,M,30,72.74614760746148,4,6.1,b,0,Rent,1
326,54.0,M,28,89.0,1,1.9,m,0,Rent,0
327,52.0,M,27,80.0,1,1.3,a,0,Rent,0
328,58.0,M,32,114.0,2,2.0,b,402,Home Owner,0
329,60.0,M,35,49.0,3,0.5,m,0,Rent,0
330,28.0,M,4,191.0,1,6.33333333333333,b,0,Rent,0
331,54.0,M,30,78.0,4,1.0,m,0,Rent,0
332,32.0,M,6,28.0,3,1.0,b,0,Rent,0
333,59.0,M,33,42.0,1,0.8,m,0,Rent,0
334,63.0,M,38,140.0,1,2.5,b,0,Rent,0
335,48.0,M,23,45.0,1,1.3,m,0,Rent,0
336,56.0,M,32,122.0,2,0.3,b,360,Rent,0
337,36.0,M,12,65.0,3,2.6,m,0,Rent,0
338,57.0,M,27,68.0,1,1.4,a,0,Rent,0
339,29.0,M,3,153.0,2,2.0,b,392,Rent,0
340,39.0,M,13,89.0,4,1.4,m,0,Rent,0
341,59.0,M,34,91.0,1,2.6,b,0,Rent,0
342,31.0,M,6,55.0,4,2.0,m,185,Rent,0
343,43.0,M,19,118.0,2,3.3,b,0,Rent,0
344,35.0,M,5,22.0,1,0.666666666666667,a,103,Home Owner,0
345,54.0,M,24,63.0,3,1.4,a,138,Rent,0
346,51.0,M,27,12.0,4,0.5,m,78,Rent,0
347,44.0,M,19,50.0,3,2.7,m,0,Rent,0
348,25.0,M,0,43.0,2,1.6,a,0,Rent,0
349,40.0,M,15,173.0,4,6.6,b,0,Home Owner,1
350,26.0,M,2,60.0,2,3.0,b,132,Home Owner,1
351,39.0,F,14,113.0,1,1.0,a,0,Home Owner,0
352,28.0,F,4,155.0,4,5.3,m,0,Home Owner,1
353,52.0,F,28,91.0,4,1.0,m,0,Home Owner,0
354,53.0,F,29,55.0,4,1.1,m,0,Home Owner,0
355,44.0,F,20,173.0,2,1.4,b,419,Home Owner,0
356,43.0,F,19,71.0,3,0.3,a,0,Home Owner,0
357,56.0,F,30,24.0,2,0.4,a,88,Home Owner,0
358,38.0,F,14,42.0,1,2.0,m,81,Home Owner,0
359,30.0,F,6,141.0,2,4.33333333333333,b,0,Home Owner,0
360,32.0,F,6,32.0,1,1.9,a,0,Home Owner,0
361,35.0,F,10,55.0,4,1.3,b,0,Home Owner,0
362,43.0,F,19,153.0,2,7.5,b,0,Home Owner,0
363,58.0,F,32,113.0,2,1.4,b,270,Home Owner,0
364,25.0,F,0,30.0,2,1.7,m,0,Home Owner,0
365,54.0,F,24,29.0,3,1.0,a,148,Home Owner,0
366,57.0,F,32,174.0,1,6.8,m,466,Rent,1
367,50.0,F,24,35.0,1,0.3,a,0,Rent,0
368,32.0,F,8,98.0,2,2.0,m,175,Rent,0
369,63.0,F,37,30.0,2,1.0,a,159,Rent,0
370,31.0,M,6,58.0,2,2.5,b,0,Rent,0
371,36.0,M,12,25.0,4,1.0,b,147,Rent,0
372,58.0,M,34,19.0,4,0.7,b,0,Rent,0
373,56.0,M,30,44.0,4,0.7,m,174,Rent,0
374,49.0,M,25,20.0,4,1.0,b,111,Rent,0
375,30.0,M,5,98.0,2,3.1,b,220,Rent,0
376,33.0,M,7,90.0,3,1.6,b,0,Rent,0
377,45.0,M,21,61.0,3,0.7,b,0,Rent,0
378,30.0,M,5,40.0,4,2.0,m,0,Rent,0
379,47.0,M,23,38.0,2,2.1,a,0,Rent,0
380,25.0,M,0,28.0,2,1.7,m,0,Home Owner,0
381,63.0,M,33,34.0,1,1.5,a,0,Rent,0
382,55.0,M,29,73.0,2,2.3,a,0,Rent,0
383,65.0,M,41,133.0,4,2.0,b,0,Rent,1
384,44.0,M,18,53.0,1,0.2,b,0,Home Owner,0
385,51.0,M,25,21.0,4,0.6,a,0,Home Owner,0
386,35.0,M,9,40.0,3,0.9,b,0,Home Owner,0
387,30.0,M,5,41.0,4,1.7,m,0,Home Owner,0
388,31.0,M,5,82.0,4,1.8,m,0,Home Owner,0
389,54.0,M,30,100.0,4,3.4,a,0,Rent,1
390,45.0,M,20,155.0,1,7.0,b,0,Home Owner,0
391,45.0,F,19,45.0,1,0.2,b,0,Home Owner,0
392,58.0,O,32,9.0,3,0.3,a,0,Home Owner,0
393,54.0,O,29,48.0,4,1.8,a,0,Home Owner,0
394,53.0,M,28,18.0,4,0.1,a,109,Home Owner,0
395,33.0,F,9,80.0,4,3.4,b,0,Home Owner,0
396,60.0,O,35,64.0,2,2.8,b,0,Home Owner,0
397,50.0,O,24,29.0,4,0.1,b,0,Home Mortage,0
398,26.0,F,2,48.0,3,0.7,m,0,Home Owner,0
399,54.0,O,30,23.0,2,0.4,b,0,Home Owner,0
400,28.0,F,3,84.0,4,0.2,b,0,Home Owner,0
401,36.0,M,10,179.0,3,6.6,b,0,Rent,1
402,29.0,F,2,30.0,4,1.5,m,112,Home Mortage,0
403,54.0,F,28,93.0,1,4.9,b,133,Home Mortage,0
404,55.0,F,30,39.0,2,1.9,m,0,Home Mortage,0
405,61.0,F,36,60.0,3,0.5,m,182,Home Mortage,0
406,36.0,F,11,133.0,1,3.8,b,290,Home Mortage,0
407,45.0,F,19,125.0,1,2.4,b,0,Home Mortage,0
408,64.0,F,40,58.0,1,1.8,a,0,Home Mortage,0
409,60.0,F,36,89.0,2,2.8,b,0,Home Mortage,0
410,49.0,F,22,82.0,1,2.66666666666667,m,125,Home Mortage,0
411,47.0,M,23,110.0,2,3.3,b,0,Home Mortage,0
412,60.0,F,36,54.0,4,2.3,a,0,Home Mortage,0
413,45.0,F,20,89.0,4,1.9,a,0,Home Mortage,0
414,32.0,F,7,42.0,3,2.3,b,0,Home Mortage,0
415,52.0,F,28,41.0,3,1.9,m,0,Home Mortage,0
416,35.0,M,8,38.0,4,1.0,m,124,Home Mortage,0
417,40.0,F,15,85.0,2,0.4,b,0,Home Mortage,0
418,53.0,F,29,83.0,4,1.0,m,0,Home Mortage,0
419,27.0,F,0,33.0,4,1.0,a,0,Home Mortage,0
420,58.0,F,33,50.0,4,2.1,b,0,Home Mortage,0
421,47.0,F,22,58.0,4,3.6,a,0,Home Mortage,0
422,28.0,F,3,115.0,4,3.1,m,0,Rent,1
423,46.0,F,20,145.0,2,6.3,b,0,Rent,0
424,43.0,F,19,161.0,2,7.5,b,0,Rent,0
425,56.0,F,30,38.0,1,0.2,b,0,Rent,0
426,28.0,F,3,28.0,4,0.8,b,0,Rent,0
427,42.0,F,18,75.0,3,2.33333333333333,b,0,Rent,0
428,32.0,F,7,35.0,3,1.3,b,116,Rent,0
429,62.0,F,38,24.0,2,1.0,b,116,Rent,0
430,37.0,F,13,78.0,4,0.1,m,0,Rent,0
431,51.0,F,26,113.0,1,1.3,a,161,Rent,0
432,39.0,F,13,75.0,3,2.1,b,224,Rent,0
433,43.0,F,17,91.0,1,5.7,b,0,Rent,0
434,52.0,F,28,31.0,4,0.2,b,141,Rent,0
435,30.0,F,6,45.0,1,1.8,m,0,Rent,0
436,52.0,F,26,80.0,3,0.8,b,0,Rent,0
437,61.0,O,35,50.0,3,1.4,a,112,Rent,0
438,36.0,F,9,31.0,4,1.0,m,0,Rent,0
439,58.0,M,32,113.0,2,3.8,m,119,Rent,1
